Station,stationid,date,in_bike,out_bike
1,2537,2017/7/2,8,6
1,2537,2017/7/3,8,8
1,2537,2017/7/4,7,9
1,2537,2017/7/5,7,10
1,2537,2017/7/6,6,10
1,2537,2017/7/7,9,10
1,2537,2017/7/8,10,9
1,2537,2017/7/9,12,5
1,2537,2017/7/10,8,7
1,2537,2017/7/11,5,7
1,2537,2017/7/12,4,7
1,2537,2017/7/13,6,10
1,2537,2017/7/14,6,6
1,2537,2017/7/15,7,7
1,2537,2017/7/16,7,7
1,2537,2017/7/17,7,7
1,2537,2017/7/18,6,4
1,2537,2017/7/19,4,7
1,2537,2017/7/20,4,4
1,2537,2017/7/21,6,7
1,2537,2017/7/22,6,6
1,2537,2017/7/23,7,3
1,2537,2017/7/24,6,6
1,2537,2017/7/25,6,8
1,2537,2017/7/26,6,3
1,2537,2017/7/27,6,4
1,2537,2017/7/28,5,3
1,2537,2017/7/29,5,4
1,2537,2017/7/30,7,8
1,2537,2017/7/31,7,4
2,2572,2017/7/2,14,12
2,2572,2017/7/3,15,14
2,2572,2017/7/4,17,17
2,2572,2017/7/5,16,18
2,2572,2017/7/6,11,14
2,2572,2017/7/7,13,14
2,2572,2017/7/8,19,19
2,2572,2017/7/9,24,18
2,2572,2017/7/10,14,13
2,2572,2017/7/11,9,13
2,2572,2017/7/12,6,9
2,2572,2017/7/13,8,10
2,2572,2017/7/14,9,8
2,2572,2017/7/15,17,9
2,2572,2017/7/16,17,12
2,2572,2017/7/17,13,10
2,2572,2017/7/18,7,10
2,2572,2017/7/19,6,10
2,2572,2017/7/20,6,7
2,2572,2017/7/21,9,8
2,2572,2017/7/22,15,6
2,2572,2017/7/23,20,12
2,2572,2017/7/24,11,11
2,2572,2017/7/25,6,8
2,2572,2017/7/26,7,9
2,2572,2017/7/27,8,9
2,2572,2017/7/28,10,11
2,2572,2017/7/29,16,10
2,2572,2017/7/30,15,10
2,2572,2017/7/31,8,11
3,2504,2017/7/2,13,9
3,2504,2017/7/3,7,9
3,2504,2017/7/4,4,5
3,2504,2017/7/5,5,7
3,2504,2017/7/6,7,7
3,2504,2017/7/7,9,5
3,2504,2017/7/8,12,5
3,2504,2017/7/9,10,6
3,2504,2017/7/10,7,10
3,2504,2017/7/11,5,7
3,2504,2017/7/12,5,7
3,2504,2017/7/13,4,7
3,2504,2017/7/14,7,5
3,2504,2017/7/15,9,8
3,2504,2017/7/16,7,8
3,2504,2017/7/17,7,8
3,2504,2017/7/18,5,9
3,2504,2017/7/19,4,5
3,2504,2017/7/20,5,5
3,2504,2017/7/21,5,8
3,2504,2017/7/22,6,5
3,2504,2017/7/23,6,6
3,2504,2017/7/24,6,2
3,2504,2017/7/25,6,6
3,2504,2017/7/26,4,8
3,2504,2017/7/27,4,7
3,2504,2017/7/28,6,6
3,2504,2017/7/29,7,2
3,2504,2017/7/30,4,6
3,2504,2017/7/31,5,3
4,2542,2017/7/2,10,10
4,2542,2017/7/3,10,10
4,2542,2017/7/4,9,12
4,2542,2017/7/5,11,13
4,2542,2017/7/6,10,15
4,2542,2017/7/7,12,11
4,2542,2017/7/8,13,11
4,2542,2017/7/9,12,9
4,2542,2017/7/10,11,11
4,2542,2017/7/11,10,14
4,2542,2017/7/12,10,12
