Originalid,stationid,date,in_bike,out_bike
1,2537,2017/7/1,16,20
1,2537,2017/7/2,11,15
1,2537,2017/7/3,13,16
1,2537,2017/7/4,5,5
1,2537,2017/7/5,6,9
1,2537,2017/7/6,5,7
1,2537,2017/7/7,9,10
1,2537,2017/7/8,7,8
1,2537,2017/7/9,5,6
1,2537,2017/7/10,2,3
1,2537,2017/7/11,8,12
1,2537,2017/7/12,7,7
1,2537,2017/7/13,4,7
1,2537,2017/7/14,1,2
1,2537,2017/7/15,7,8
1,2537,2017/7/16,9,11
1,2537,2017/7/17,4,7
1,2537,2017/7/18,3,2
1,2537,2017/7/19,2,4
1,2537,2017/7/20,3,8
1,2537,2017/7/21,11,9
1,2537,2017/7/22,4,9
1,2537,2017/7/23,7,10
1,2537,2017/7/24,4,11
1,2537,2017/7/25,7,10
1,2537,2017/7/26,2,3
1,2537,2017/7/27,2,7
1,2537,2017/7/28,5,6
1,2537,2017/7/29,6,9
1,2537,2017/7/30,4.5,8
2,2572,2017/7/1,35,36
2,2572,2017/7/2,36,46
2,2572,2017/7/3,38,27
2,2572,2017/7/4,4,4
2,2572,2017/7/5,7,8
2,2572,2017/7/6,9,3
2,2572,2017/7/7,22,21
2,2572,2017/7/8,7,10
2,2572,2017/7/9,9,4
2,2572,2017/7/10,5,3
2,2572,2017/7/11,3,10
2,2572,2017/7/12,5,8
2,2572,2017/7/13,19,11
2,2572,2017/7/14,18,21
2,2572,2017/7/15,14,11
2,2572,2017/7/16,9,8
2,2572,2017/7/17,7,7
2,2572,2017/7/18,3,4
2,2572,2017/7/19,4,3
2,2572,2017/7/20,14,16
2,2572,2017/7/21,22,30
2,2572,2017/7/22,13,12
2,2572,2017/7/23,5,3
2,2572,2017/7/24,11,11
2,2572,2017/7/25,5,9
2,2572,2017/7/26,7,6
2,2572,2017/7/27,18,15
2,2572,2017/7/28,13,16
2,2572,2017/7/29,5,4
2,2572,2017/7/30,10.5,8
3,2504,2017/7/1,5,11
3,2504,2017/7/2,6,6
3,2504,2017/7/3,10,10
3,2504,2017/7/4,11,8
3,2504,2017/7/5,7,8
3,2504,2017/7/6,7,6
3,2504,2017/7/7,10,10
3,2504,2017/7/8,4,4
3,2504,2017/7/9,10,7
3,2504,2017/7/10,7,4
3,2504,2017/7/11,3,3
3,2504,2017/7/12,7,6
3,2504,2017/7/13,7,7
3,2504,2017/7/14,1,6
3,2504,2017/7/15,6,9
3,2504,2017/7/16,5,1
3,2504,2017/7/17,3,2
3,2504,2017/7/18,6,8
3,2504,2017/7/19,8,3
3,2504,2017/7/20,5,6
3,2504,2017/7/21,5.5,4
3,2504,2017/7/22,6,2
3,2504,2017/7/23,6,3
3,2504,2017/7/24,4,2
3,2504,2017/7/25,3,2
3,2504,2017/7/26,6,7
3,2504,2017/7/27,8,3
3,2504,2017/7/28,5,3
3,2504,2017/7/29,7,6
3,2504,2017/7/30,8.5,11
4,2542,2017/7/1,16,11
4,2542,2017/7/2,9,16
4,2542,2017/7/3,17,9
4,2542,2017/7/4,8,11
