stationid,date,in_bike,out_bike
2494.0,2016-06-01,12.0,20.0
2494.0,2016-06-02,15.0,16.0
2494.0,2016-06-03,30.0,29.0
2494.0,2016-06-04,44.0,46.0
2494.0,2016-06-05,35.0,41.0
2494.0,2016-06-06,30.0,30.0
2494.0,2016-06-07,21.0,16.0
2494.0,2016-06-08,27.0,24.0
2494.0,2016-06-09,25.0,32.0
2494.0,2016-06-10,29.0,33.0
2494.0,2016-06-11,43.0,52.0
2494.0,2016-06-12,23.0,27.0
2494.0,2016-06-13,28.0,40.0
2494.0,2016-06-14,26.0,30.0
2494.0,2016-06-15,17.0,15.0
2494.0,2016-06-16,18.0,16.0
2494.0,2016-06-17,25.0,27.0
2494.0,2016-06-18,21.0,30.0
2494.0,2016-06-19,23.0,19.0
2494.0,2016-06-20,15.0,24.0
2494.0,2016-06-21,16.0,20.0
2494.0,2016-06-22,18.0,15.0
2494.0,2016-06-23,19.0,23.0
2494.0,2016-06-24,18.0,23.0
2494.0,2016-06-25,22.0,26.0
2494.0,2016-06-26,33.0,28.0
2494.0,2016-06-27,16.0,14.0
2494.0,2016-06-28,5.0,9.0
2494.0,2016-06-29,26.0,31.0
2494.0,2016-06-30,12.0,20.0
2494.0,2016-07-01,33.0,37.0
2494.0,2016-07-02,42.0,39.0
2494.0,2016-07-03,47.0,43.0
2494.0,2016-07-04,32.0,32.0
2494.0,2016-07-05,13.0,19.0
2494.0,2016-07-06,9.0,6.0
2494.0,2016-07-07,12.0,15.0
2494.0,2016-07-08,8.0,9.0
2494.0,2016-07-09,17.0,14.0
2494.0,2016-07-10,25.0,23.0
2494.0,2016-07-11,19.0,14.0
2494.0,2016-07-12,24.0,36.0
2494.0,2016-07-13,22.0,22.0
2494.0,2016-07-14,25.0,27.0
2494.0,2016-07-15,26.0,30.0
2494.0,2016-07-16,32.0,32.0
2494.0,2016-07-17,15.0,18.0
2494.0,2016-07-18,15.0,14.0
2494.0,2016-07-19,9.0,13.0
2494.0,2016-07-20,8.0,14.0
2494.0,2016-07-21,19.0,21.0
2494.0,2016-07-22,26.0,22.0
2494.0,2016-07-23,29.0,41.0
2494.0,2016-07-24,20.0,19.0
2494.0,2016-07-25,14.0,17.0
2494.0,2016-07-26,21.0,13.0
2494.0,2016-07-27,11.0,15.0
2494.0,2016-07-28,22.0,23.0
2494.0,2016-07-29,21.0,24.0
2494.0,2016-07-30,12.0,24.0
2494.0,2016-07-31,13.0,12.0
2494.0,2016-08-01,9.0,15.0
2494.0,2016-08-02,9.0,11.0
2494.0,2016-08-03,14.0,10.0
2494.0,2016-08-04,29.0,34.0
2494.0,2016-08-05,22.0,21.0
2494.0,2016-08-06,40.0,44.0
2494.0,2016-08-07,29.0,30.0
2494.0,2016-08-08,14.0,12.0
2494.0,2016-08-09,11.0,17.0
2494.0,2016-08-10,19.0,17.0
2494.0,2016-08-11,23.0,28.0
2494.0,2016-08-12,12.0,18.0
2494.0,2016-08-13,18.0,25.0
2494.0,2016-08-14,13.0,13.0
2494.0,2016-08-15,6.0,3.0
2494.0,2016-08-16,7.0,8.0
2494.0,2016-08-17,5.0,9.0
2494.0,2016-08-18,9.0,1.0
2494.0,2016-08-19,11.0,21.0
2494.0,2016-08-20,17.0,17.0
2494.0,2016-08-21,19.0,16.0
2494.0,2016-08-22,10.0,4.0
2494.0,2016-08-23,8.0,6.0
2494.0,2016-08-24,6.0,13.0
2494.0,2016-08-25,12.0,9.0
2494.0,2016-08-26,30.0,39.0
2494.0,2016-08-27,45.0,46.0
2494.0,2016-08-28,31.0,29.0
2494.0,2016-08-29,8.0,6.0
2494.0,2016-08-30,7.0,9.0
2494.0,2016-08-31,8.0,9.0
2494.0,2016-09-01,9.0,11.0
2494.0,2016-09-02,22.0,26.0
2494.0,2016-09-03,42.0,46.0
2494.0,2016-09-04,35.0,39.0
2494.0,2016-09-05,30.0,34.0
2494.0,2016-09-06,15.0,7.0
2494.0,2016-09-07,12.0,17.0
2494.0,2016-09-08,11.0,14.0
2494.0,2016-09-09,24.0,30.0
2494.0,2016-09-10,33.0,41.0
2494.0,2016-09-11,21.0,25.0
2494.0,2016-09-12,10.0,10.0
2494.0,2016-09-13,10.0,12.0
2494.0,2016-09-14,7.0,5.0
2494.0,2016-09-15,14.0,11.0
2494.0,2016-09-16,17.0,23.0
2494.0,2016-09-17,29.0,21.0
2494.0,2016-09-18,9.0,16.0
2494.0,2016-09-19,11.0,17.0
2494.0,2016-09-20,10.0,12.0
2494.0,2016-09-21,10.0,11.0
2494.0,2016-09-22,9.0,9.0
2494.0,2016-09-23,14.0,18.0
2494.0,2016-09-24,43.0,41.0
2494.0,2016-09-25,12.0,15.0
2494.0,2016-09-26,9.0,13.0
2494.0,2016-09-27,8.0,14.0
2494.0,2016-09-28,24.0,20.0
2494.0,2016-09-29,22.0,21.0
2494.0,2016-09-30,67.0,68.0
2494.0,2016-10-01,106.0,96.0
2494.0,2016-10-02,113.0,99.0
2494.0,2016-10-03,33.0,38.0
2494.0,2016-10-04,10.0,15.0
2494.0,2016-10-05,15.0,15.0
2494.0,2016-10-06,17.0,25.0
2494.0,2016-10-07,46.0,43.0
2494.0,2016-10-08,101.0,76.0
2494.0,2016-10-09,102.0,65.0
2494.0,2016-10-10,34.0,48.0
2494.0,2016-10-11,40.0,32.0
2494.0,2016-10-12,22.0,23.0
2494.0,2016-10-13,15.0,18.0
2494.0,2016-10-14,27.0,26.0
2494.0,2016-10-15,35.0,41.0
2494.0,2016-10-16,12.0,12.0
2494.0,2016-10-17,18.0,14.0
2494.0,2016-10-18,17.0,21.0
2494.0,2016-10-19,16.0,19.0
2494.0,2016-10-20,19.0,25.0
2494.0,2016-10-21,20.0,20.0
2494.0,2016-10-22,24.0,33.0
2494.0,2016-10-23,12.0,16.0
2494.0,2016-10-24,33.0,33.0
2494.0,2016-10-25,23.0,24.0
2494.0,2016-10-26,21.0,23.0
2494.0,2016-10-27,15.0,20.0
2494.0,2016-10-28,21.0,31.0
2494.0,2016-10-29,39.0,38.0
2494.0,2016-10-30,32.0,32.0
2494.0,2016-10-31,26.0,24.0
2494.0,2016-11-01,15.0,16.0
2494.0,2016-11-02,10.0,11.0
2494.0,2016-11-03,13.0,19.0
2494.0,2016-11-04,37.0,36.0
2494.0,2016-11-05,33.0,32.0
2494.0,2016-11-06,23.0,28.0
2494.0,2016-11-07,16.0,14.0
2494.0,2016-11-08,17.0,18.0
2494.0,2016-11-09,15.0,16.0
2494.0,2016-11-10,27.0,36.0
2494.0,2016-11-11,48.0,57.0
2494.0,2016-11-12,36.0,35.0
2494.0,2016-11-13,26.0,36.0
2494.0,2016-11-14,7.0,15.0
2494.0,2016-11-15,10.0,16.0
2494.0,2016-11-16,20.0,15.0
2494.0,2016-11-17,20.0,24.0
2494.0,2016-11-18,10.0,17.0
2494.0,2016-11-19,18.0,19.0
2494.0,2016-11-20,20.0,14.0
2494.0,2016-11-21,26.0,30.0
2494.0,2016-11-22,12.0,12.0
2494.0,2016-11-23,25.0,31.0
2494.0,2016-11-24,21.0,19.0
2494.0,2016-11-25,22.0,22.0
2494.0,2016-11-26,40.0,44.0
2494.0,2016-11-27,16.0,16.0
2494.0,2016-11-28,11.0,6.0
2494.0,2016-11-29,15.0,19.0
2494.0,2016-11-30,9.0,16.0
2494.0,2016-12-01,10.15625,16.90625
2494.0,2016-12-02,11.3125,17.8125
2494.0,2016-12-03,12.46875,18.71875
2494.0,2016-12-04,13.625,19.625
2494.0,2016-12-05,14.78125,20.53125
2494.0,2016-12-06,15.9375,21.4375
2494.0,2016-12-07,17.09375,22.34375
2494.0,2016-12-08,18.25,23.25
2494.0,2016-12-09,19.40625,24.15625
2494.0,2016-12-10,20.5625,25.0625
2494.0,2016-12-11,21.71875,25.96875
2494.0,2016-12-12,22.875,26.875
2494.0,2016-12-13,24.03125,27.78125
2494.0,2016-12-14,25.1875,28.6875
2494.0,2016-12-15,26.34375,29.59375
2494.0,2016-12-16,27.5,30.5
2494.0,2016-12-17,28.65625,31.40625
2494.0,2016-12-18,29.8125,32.3125
2494.0,2016-12-19,30.96875,33.21875
2494.0,2016-12-20,32.125,34.125
2494.0,2016-12-21,33.28125,35.03125
2494.0,2016-12-22,34.4375,35.9375
2494.0,2016-12-23,35.59375,36.84375
2494.0,2016-12-24,36.75,37.75
2494.0,2016-12-25,37.90625,38.65625
2494.0,2016-12-26,39.0625,39.5625
2494.0,2016-12-27,40.21875,40.46875
2494.0,2016-12-28,41.375,41.375
2494.0,2016-12-29,42.53125,42.28125
2494.0,2016-12-30,43.6875,43.1875
2494.0,2016-12-31,44.84375,44.09375
2494.0,2017-01-01,46.0,45.0
2494.0,2017-01-02,29.0,23.0
2494.0,2017-01-03,13.0,14.0
2494.0,2017-01-04,12.0,9.0
2494.0,2017-01-05,13.0,10.0
2494.0,2017-01-06,5.0,4.0
2494.0,2017-01-07,4.0,4.0
2494.0,2017-01-08,3.0,2.0
2494.0,2017-01-09,7.0,13.0
2494.0,2017-01-10,16.0,19.0
2494.0,2017-01-11,12.0,11.0
2494.0,2017-01-12,12.0,16.0
2494.0,2017-01-13,15.0,19.0
2494.0,2017-01-14,18.0,19.0
2494.0,2017-01-15,8.0,7.0
2494.0,2017-01-16,10.0,13.0
2494.0,2017-01-17,8.5,8.0
2494.0,2017-01-18,7.0,3.0
2494.0,2017-01-19,20.0,21.0
2494.0,2017-01-20,17.0,21.0
2494.0,2017-01-21,34.0,36.0
2494.0,2017-01-22,10.0,14.0
